Genus,Class,Family
Tubiflora,Dicotyledons,ACANTHACEAE
Tyloglossa,Dicotyledons,ACANTHACEAE
Ulleria,Dicotyledons,ACANTHACEAE
Vavara,Dicotyledons,ACANTHACEAE
Vindasia,Dicotyledons,ACANTHACEAE
Volkensiophyton,Dicotyledons,ACANTHACEAE
Warpuria,Dicotyledons,ACANTHACEAE
Whitfieldia,Dicotyledons,ACANTHACEAE
Xantheranthemum,Dicotyledons,ACANTHACEAE
Xanthostachya,Dicotyledons,ACANTHACEAE
Xenacanthus,Dicotyledons,ACANTHACEAE
Xerothamnella,Dicotyledons,ACANTHACEAE
Yeatesia,Dicotyledons,ACANTHACEAE
Zenkerina,Dicotyledons,ACANTHACEAE
Zygoruellia,Dicotyledons,ACANTHACEAE
Acer,Dicotyledons,ACERACEAE
Dipteronia,Dicotyledons,ACERACEAE
Acharia,Dicotyledons,ACHARIACEAE
Ceratiosicyos,Dicotyledons,ACHARIACEAE
Guthriea,Dicotyledons,ACHARIACEAE
Achatocarpus,Dicotyledons,ACHATOCARPACEAE
Phaulothamnus,Dicotyledons,ACHATOCARPACEAE
Actinidia,Dicotyledons,ACTINIDIACEAE
Clematoclethra,Dicotyledons,ACTINIDIACEAE
Saurauia,Dicotyledons,ACTINIDIACEAE
Adoxa,Dicotyledons,ADOXACEAE
Sinadoxa,Dicotyledons,ADOXACEAE
Tetradoxa,Dicotyledons,ADOXACEAE
Aegotoxicum,Dicotyledons,AEXTOXICACEAE
Aegtoxicon,Dicotyledons,AEXTOXICACEAE
Aextoxicon,Dicotyledons,AEXTOXICACEAE
Agdestis,Dicotyledons,AGDESTIDACEAE
Acaulon,Dicotyledons,AIZOACEAE
Acrodon,Dicotyledons,AIZOACEAE
Acrosanthes,Dicotyledons,AIZOACEAE
Aethephyllum,Dicotyledons,AIZOACEAE
Agnirictus,Dicotyledons,AIZOACEAE
Aistocaulon,Dicotyledons,AIZOACEAE
Aizoanthemum,Dicotyledons,AIZOACEAE
Aizoon,Dicotyledons,AIZOACEAE
Aloinopsis,Dicotyledons,AIZOACEAE
Amoebophyllum,Dicotyledons,AIZOACEAE
Amphibolia,Dicotyledons,AIZOACEAE
Ancistrostigma,Dicotyledons,AIZOACEAE
Anisocalyx,Dicotyledons,AIZOACEAE
Anisostigma,Dicotyledons,AIZOACEAE
Antegibbaeum,Dicotyledons,AIZOACEAE
Antimima,Dicotyledons,AIZOACEAE
Apatesia,Dicotyledons,AIZOACEAE
Aptenia,Dicotyledons,AIZOACEAE
Arenifera,Dicotyledons,AIZOACEAE
